Date,IA confirmed,ID confirmed,IA deaths,ID deaths
2021-02-02,320339,163656,4919,1741
2021-02-03,321536,164160,4975,1747
2021-02-04,322513,164565,5033,1747
2021-02-05,323317,164969,5067,1758
2021-02-06,323872,165209,5108,1767
2021-02-07,324408,165209,5108,1767
2021-02-08,324672,165658,5110,1776
2021-02-09,325379,166109,5145,1781
2021-02-10,326414,166553,5175,1792
2021-02-11,327257,166874,5197,1792
2021-02-12,327994,167225,5223,1797
2021-02-13,328640,167484,5236,1804
2021-02-14,329099,167484,5236,1804
2021-02-15,329309,167484,5237,1804
2021-02-16,329812,167945,5263,1808
2021-02-17,330437,168353,5306,1818
2021-02-18,331064,168639,5321,1826
2021-02-19,331626,168954,5336,1826
2021-02-20,332185,169150,5336,1826
2021-02-21,332575,169150,5336,1826
2021-02-22,332771,169584,5374,1826
2021-02-23,333386,169584,5400,1826
2021-02-24,334105,169867,5415,1840
2021-02-25,334760,170597,5438,1850
2021-02-26,335407,170907,5464,1859
2021-02-27,335963,171144,5471,1860
2021-02-28,336316,171144,5472,1860
2021-03-01,336517,171466,5473,1867
2021-03-02,336972,171837,5499,1872
2021-03-03,337595,172288,5502,1877
2021-03-04,338268,172587,5537,1877
2021-03-05,338671,172827,5550,1877
2021-03-06,338671,172827,5550,1877
2021-03-07,339209,172931,5554,1879
2021-03-08,339696,173309,5561,1891
2021-03-09,340213,173792,5576,1893
2021-03-10,341011,174247,5602,1902
2021-03-11,341436,174611,5621,1907
2021-03-12,341920,174945,5632,1910
2021-03-13,342473,174945,5634,1910
2021-03-14,342754,175236,5634,1910
2021-03-15,342943,175658,5642,1917
2021-03-16,343356,176007,5643,1930
2021-03-17,343356,176462,5643,1936
2021-03-18,344318,176803,5669,1939
2021-03-19,344920,176803,5674,1939
2021-03-20,345366,177420,5674,1941
2021-03-21,345681,177421,5676,1943
2021-03-22,345822,177761,5677,1948
2021-03-23,346305,178120,5677,1953
2021-03-24,347071,178545,5685,1954
2021-03-25,347703,178888,5690,1956
2021-03-26,348610,179205,5709,1956
2021-03-27,349142,179428,5717,1956
2021-03-28,349601,179429,5719,1956
2021-03-29,349601,179429,5719,1956
2021-03-30,349742,179429,5726,1956
2021-03-31,350840,180536,5744,1962
2021-04-01,351651,180897,5744,1963
2021-04-02,352262,181181,5752,1966
2021-04-03,352813,181181,5755,1966
